Question,Option 1,Response 1,Option 2,Response 2
Work has been exhausting lately. But I'm definitely getting better at aligning stakeholders.,That's a useful life skill!,"Next, I want to get better at market analysis.",What does that even mean?,Let me take that as an action item to follow up with you on the precise definition. Thanks.
"I know you don't love this, but you need to know: genuinely, I enjoy data analysis and being in meetings. It’s true.",It's nice that you like things that pay the bills. You should enjoy that.,"You know what, yeah!",YOU'RE LYING TO YOURSELF!!!,"Okay, I'll introspect and circle back! Thanks."
"I don't know if I can really say I grew up dreaming of being a Professional Businessperson, but look, I don't know how I'd be able to walk away from this great health insurance.",Never leave!,I haven’t yet!,AHHHH!!!!!!!,I think we're aligned here.
Isn't it nice that work is giving us the day off tomorrow? I'm thankful for this life. I used to dream of times like these.,Your family must be happy for you.,"They are, they are.",But do you still dream of times like these?,It’s hard to imagine myself giving this up…
I appreciate the space you give me. I know my work affects you. Thank you for supporting me and making my lunches.,Thank YOU for supporting me.,"You and me, we're a team.","I resent it. I keep giving and giving, and all you do is focus on yourself.",I know I could be doing better...
We've been working hard at this for a while and I just don't want us to lose what we've built.,"We've put in a lot, I know.",So proud of the results we’ve delivered!,Ever heard of sunk cost?,I might have missed that lecture!
"Every work day I wake up and cry and freak out for an hour before starting my day, but isn't that what everyone does?",Don't you know how good you have it being employed? Things could be so much worse!,"Sorry, yeah! I'm grateful for the opportunity to freak out before work. I really am grateful to be employed and I hope everyone knows that. I hope you know that. At the same time, I am really really sad. Let me know if there’s anything else I can clarify. Thanks.",WHAT???????,"This is as good as it gets, I think."
I've noticed that the ambient water at the office is warmer than usual. It's throwing me off my game.,I love how observant you are.,"I learn from the best. The best is you, by the way.",You have nothing better to think about?,I thought it was an interesting observation…
"I feel like I'm falling behind. My friends are getting promoted faster than me. They're working hard than me for sure. Also, they're just better at their job. But it makes me feel so bad about myself!",We're all running our own race!,Thanks! But why did I get stuck with this one?,You should feel bad about yourself. TRY HARDER!!!,Why are you being so mean to me?
I've been thinking about quitting my job and running into the horizon and never looking back.,DON'T DO IT!!!,"Thanks, I’ll take that into account as we finalize the direction here!",Oh that is nice,I think about it all the time.
Maybe I could consider a lateral role transfer from being a Businessperson to an Analyst. Maybe then I'd be happy.,That could be just the change you need.,I agree. It would mean everything to me if I could become an Analyst.,You think the key to happiness lies in analytics? What do people even analyze?,"I have no idea. That’s why I need to try it to find out, right?"
Be honest with me. Have I actually gotten better at aligning stakeholders?,Absolutely!,"Cheers! Hey, can I offer you some time back?","Does it matter? Again, what does that even mean?","Sorry, I realize now that I didn’t circle back with you on that one. Please tag me in a comment and I’ll respond in the thread. Thanks."
What would I even do from 9 to 5 every day if not this?,I don't think you're good with unstructured time.,You know me so well.,Why not find out?,Maybe. Maybe.
