Question,Option 1,Response 1,Option 2,Response 2
Life without self-expression is pointless.,AGREE,AGREE!!!,"A bit dramatic, no?",Life without drama is pointless.
I keep applying to open calls to paint murals and nothing ever works out. It takes up so much time! It's taking away from my day job!,Keep going!,I WILL!!!,Maybe that's a sign!,A sign that I should quit my job? True!
"I've been working on my portfolio on the weekends. It keeps me busy, but it makes me feel alive.",Do what makes you feel alive!,GREAT POINT!!!,Weren't you just complaining about being behind at work?,What’s your point?
"When it came to picking between my art school and business school offers, there was what my head said, and what my heart said...but ultimately, I couldn't turn down the business school offer. You know how it is.",And what do your head and heart say now?,What a good question <3,"If you really wanted to go to art school, you would've done it then.",I don't know if that's how life works...
I have no idea what I'm doing!,"And you know what, who does?",Yeah! YEAH!!!,Not particularly inspiring!,That wasn't my goal!
"Sometimes I worry about my passion for murals. Like, do I really need people to see my work? Isn't it enough to just paint for myself?",The world is better off with your magic in it <3,That’s the kindest thing anyone’s ever said to me!,It should be enough to paint for yourself actually. Please seek help,oh...
We haven’t been spending as much time together recently.,I’ve been busy. I’m sorry.,It’s okay. I know it’s hard to find the time these days.,"And thank goodness, am I right?",Hey!
Has anyone seen my paintbrush?,Me!!!,Really? Where!!!,No.,I guess I'll go find it myself.
"Maybe, at the extreme, I quit my job and go full time into mural painting and realize that it's not for me.",But then you'll know!,You're so wise!,"Yeah, so maybe play it safe...","Don't worry, I have been..."
What if someone sees my mural and is like wow that's so ugly.,"As long as it resonates with you, right?",RIGHT ON!,Yeah your work is pretty bad I cannot lie.,I’ve always appreciated your honesty.
I know you're scared of a future with me. It's obvious. But you need to know that I'll try my best to make it work. I really will.,I believe you. I believe in you.,And that's all I've ever wanted <3,There’s too much that’s out of our control.,But can't we try anyway?
