Question,Option 1,Response 1,Option 2,Response 2
Picture this: Me. Wimbledon. Winner. It could still happen in this lifetime.,Anything is possible!,There’s a non-zero chance for everything!,Didn't you stop playing tennis after elementary school?,"Yes, and?"
Maybe if I'd tried harder at tennis...maybe I could've been something.,You could’ve if you wanted to!,Exactly! You get it.,Sure...........................,"Look, play along with me here, okay?"
"We have some beautiful memories to look back on, don’t you think? The highway at night, windows rolled down, wind in our hair...",How precious it is to have such beautiful memories to return to. Our memories make us who we are.,I love my memories!,MOVE ON!!!,Must I?
What's the point of me even playing tennis anymore if it won't lead to a professional tennis playing career?,Tennis is a big part of who you are!,"Thank you, I like to think so!","Yeah, do you know how behind you are on your emails?",Very behind…
I no longer have the opportunity to be a child prodigy...,That would’ve been cool.,If only I’d won that one tournament…my whole trajectory would’ve been different.,GROW UP!!!,I did. That's the problem!!!
I miss my curiosity. I remember that one time as a kid when I got really into plate spinning. I was decent at it for a brief week.,I love when you follow your curiosity!,I just don’t know where it went!,You have more important things to handle these days.,Says who?
"And at this point I can't even put tennis on my college application! What employer cares that I put tennis in my ""interests""?",The right employer <3,You’re right! They’re out there somewhere!,How much tennis are you even playing? Can you even claim it's an interest of yours at this point?,Why do I need to prove my interest to you?
"I suppose I could get back into tennis now, but it's discouraging that I'll be so much worse at it now than I was as a kid.",I know you miss those days.,I wish I could go back in time…,That's just how life works.,And that’s terrible!
Maybe Wimbledon will have a wildcard round where they pick someone random from the crowd to compete. That could be my in. It would be the storyline of the year. Wouldn't it be so cool to be sponsored by Nike?,I will break into marketing and work my way up to be the director of marketing for Wimbledon and make this happen for you.,Wow...if they wanted to they would <3,…………….,It could happen. I need to be ready. You know this.
I sure love grilled cheese. Comfort food from childhood to now.,How nice it is to have things you love that you can keep returning to.,I love that framing!,Expand your palate!!,I know...I'm working on it.
"I went through my high school yearbook last night. I miss those days...I miss thinking that maybe, just maybe, I'd go to music school. Now it feels totally out of the cards.",You should consider if it’s a possibility now!,I have some work to do. I haven't touched my violin since high school...,I agree. It just doesn't make sense.,But I wish it did...
