Question,Option 1,Response 1,Option 2,Response 2
I need to do more for the people around me.,It's the whole point!,Let's figure it out together!,Aren't you super burnt out right now?,"Yes, but being burnt out feels selfish..."
Sometimes I'm talking to someone and then I get distracted thinking about work. It's hard for me to be fully present right now and I hate it.,You should quit your job!,So true!,I think that's a life skill you need to figure out.,I suppose you’re right…
I've been bad at texting my friends back. I'm trying to be better.,"Every morning and evening, set aside a 10 minute block for texting back. It's the least you can do.",You're right. I just need a system.,They should understand you're going through it!,But what if they don't?
My room is a mess. I need to get groceries. I need to clean the common space. I said I’d take out the garbage and then I forgot. I keep forgetting to contact the plumber.,Are there other things getting in the way right now?,SO MANY THINGS!!!!,GET IT TOGETHER!!!,How do you prioritize these things when you already feel like you’re letting people down in every part of your life? Asking for a friend!
My friends moved recently and I didn't even help them. Who does that?,You should've jumped in.,What’s done is done…,They insisted they didn’t need help.,"Yes, but what if they needed help anyway?"
"If I have time in the morning to lie in bed and cry before starting work, I have time to put that daily hour toward being better to the people in my life instead.",Exactly!!!,AHHHH!!!!!!,You are being so hard on yourself. Are you okay?,NO I'M NOT OKAY!!!
I know I should call my parents more…I miss them.,You all care about each other!,I know…I’m very lucky.,They should understand that you're busy. You should understand that you’re busy.,Yeah! We should all know better than to expect me to call!
It hurt when you cancelled our trip home recently because of how behind you were at work. I was really looking forward to spending time with family.,I'm sorry...,"It's okay, I know it was a tough call to make.",I have to be responsible and they should understand that.,But I wanted to go home...
I want to quit my job and go full time on Being Kind.,I totally get it.,"Oh, a world where I'm kinder...",Does that pay the bills?,I’m not sure about that one!
"There's this volunteer opportunity at the library that I've been looking at, but then I have to wake up early on the weekend, and I'm barely sleeping these days because it's so hard for me to fall asleep...not sure if this makes sense for me.",Your sleep is far less important than helping others.,You're so right!,Please make sure you're getting enough sleep!,"Yes, but why does it feel like such a selfish choice to make?"
What am I doing for the world around me right now? All I do is keep myself alive...,You seem unhappy.,I AM SO UNHAPPY!!!!!!!!!,And that's all you can do.,"I’m really trying to hold on, but it’s so hard."
